index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,"5year BOF capacity additions (new, under construction)",Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Yearly BOF Capacity additions,Region
2043,306397.55510213494,831302.0209042544,1657933.8754123065,1351536.320310171,427910.12458769395,427910.1245876938,1057701.8440184002,396340.71911624726,661975.113045166,0.0,0.0,324664.0,204537.17514725582,67466.52790420922,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2044,260903.46601727372,821240.892592913,1657933.8754123065,1397030.409395032,427910.12458769395,427910.1245876938,1090990.7790118693,407708.1584897717,679052.9197272937,0.0,0.0,324664.0,198387.17514725582,79671.68199560135,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2045,200928.35567174558,805735.8621649427,1657933.8754123065,1457005.5197405603,427910.12458769395,427910.1245876938,1092985.7790118693,381973.36843619583,657213.0749795464,0.0,0.0,324664.0,176141.2128146032,123735.64432825395,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2046,159767.949656708,796334.2409596993,1657933.8754123065,1498165.925755598,427910.12458769395,427910.1245876938,1092985.7790118693,360811.8776488389,629938.1906164081,0.0,0.0,324664.0,158267.94965670846,164896.05034329154,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2047,137967.949656708,757600.0681903162,1657933.8754123065,1519965.925755598,427910.12458769395,427910.1245876938,1092985.7790118693,330270.87633070064,570904.0178470251,0.0,0.0,324664.0,137967.94965670846,186696.05034329154,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2048,120417.94965670799,713057.6490809136,1657933.8754123065,1537515.925755598,427910.12458769395,427910.1245876938,1092985.7790118693,298593.3712114054,508811.5987376226,0.0,0.0,324664.0,120417.94965670847,204246.05034329154,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2049,98995.2530274945,703665.787213308,1657933.8754123065,1558938.6223848113,427910.12458769395,427910.1245876938,1092985.7790118693,280645.01108321594,477997.0402408035,0.0,0.0,324664.0,98995.253027495,225668.74697250503,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2050,56054.73926822195,729825.9690769807,1657933.8754123065,1601879.136144084,427910.12458769395,427910.1245876938,1092985.7790118693,274259.33344370814,461216.70834520366,0.0,0.0,324664.0,56054.739268222445,268609.2607317776,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2051,56054.73926822195,727868.9767285405,1657933.8754123065,1601879.136144084,427910.12458769395,427910.1245876938,1092985.7790118693,252120.96621346055,459259.7159967634,0.0,0.0,324664.0,56054.739268222445,268609.2607317776,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2052,24554.73926822195,748486.9280082524,1657933.8754123065,1633379.136144084,427910.12458769395,427910.1245876938,1092985.7790118693,243670.96621346055,448377.6672764754,0.0,0.0,324664.0,24554.739268222445,300109.2607317776,1600.0,0.0,324664.0,246390.1904761905,323064.0,244790.1904761905,0.0,global
