Historic Time,Region,value
1969,JPN,82166000.0
1969,LAM,12162000.0
1969,MEA,640000.0
1969,NEU,3549711.229946524
1969,OAS,2695000.0
1969,REF,110082177.19104932
1969,SSA,4925000.0
1969,USA,128151000.0
1970,CAZ,18196000.0
1970,CHA,18450000.0
1970,EUR,198088173.06939542
1970,IND,6276000.0
1970,JPN,93322000.0
1970,LAM,13173000.0
1970,MEA,641000.0
1970,NEU,3735407.4866310162
1970,OAS,3172000.0
1970,REF,115641419.44397356
1970,SSA,5131000.0
1970,USA,119307000.0
1971,CAZ,17937000.0
1971,CHA,21575000.0
1971,EUR,191252242.96490932
1971,IND,6101000.0
1971,JPN,88557000.0
1971,LAM,13990000.0
1971,MEA,633000.0
1971,NEU,3783364.705882353
1971,OAS,3438000.0
1971,REF,120382392.32920834
1971,SSA,5320000.0
1971,USA,109264000.0
1972,CAZ,18771000.0
1972,CHA,23650000.0
1972,EUR,207229319.96409252
1972,IND,6856000.0
1972,JPN,96900000.0
1972,LAM,15611000.0
1972,MEA,746000.0
1972,NEU,4211739.037433155
1972,OAS,3957000.0
1972,REF,125323940.99847433
1972,SSA,5799000.0
1972,USA,120874000.0
1973,CAZ,21277000.0
1973,CHA,26650000.0
1973,EUR,222521096.36687267
1973,IND,6889000.0
1973,JPN,119322000.0
1973,LAM,16677000.0
1973,MEA,1165000.0
1973,NEU,4137397.860962567
1973,OAS,5038000.0
1973,REF,131203505.77216476
1973,SSA,6222000.0
1973,USA,136802000.0
1974,CAZ,21630000.0
1974,CHA,27021000.0
1974,EUR,231438130.8110774
1974,IND,7068000.0
1974,JPN,117131000.0
1974,LAM,17727000.0
1974,MEA,1447000.0
1974,NEU,4405322.994652406
1974,OAS,6166000.0
1974,REF,135912546.1942702
1974,SSA,6339000.0
1974,USA,132195000.0
1975,CAZ,21079000.0
1975,CHA,27130000.0
1975,EUR,201913984.69617346
1975,IND,7991000.0
1975,JPN,102313000.0
1975,LAM,18575000.0
1975,MEA,1462000.0
1975,NEU,4361285.561497326
1975,OAS,5932000.0
1975,REF,141026729.7423292
1975,SSA,7331000.0
1975,USA,105816000.0
1976,CAZ,21306000.0
1976,CHA,22748000.0
1976,EUR,213460564.62497497
1976,IND,9364000.0
1976,JPN,107399000.0
1976,LAM,19431000.0
1976,MEA,1577000.0
